2026-03-03 18:56:47.341 | DEBUG    | mineru.utils.pdf_image_tools:load_images_from_pdf:116 - PDF to images using 4 processes, page ranges: [(0, 1), (2, 3), (4, 5), (6, 7)]
2026-03-03 18:56:50.535 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:238 - load images cost: 3.19, speed: 2.508 images/s
2026-03-03 18:56:58.067 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:243 - infer finished, cost: 7.53, speed: 1.062 page/s
2026-03-03 18:56:58.162 | DEBUG    | mineru.utils.magic_model_utils:tie_up_category_by_index:269 - Obj index: 4, Sub index: 3, Edge distance: 20
2026-03-03 18:56:58.162 | DEBUG    | mineru.utils.magic_model_utils:tie_up_category_by_index:269 - Obj index: 4, Sub index: 5, Edge distance: 12
2026-03-03 18:56:58.162 | DEBUG    | mineru.utils.magic_model_utils:tie_up_category_by_index:274 - Obj index: 4, edge_dist_diff > 2, matching to subject with min edge distance, index: 5
2026-03-03 18:56:58.427 | INFO     | __main__:_process_output:231 - local output dir is /Users/wwj/Desktop/self/download_gb/output/GB 4806.8-2016 食品安全国家标准  食品接触用纸和纸板材料及制品/vlm
2026-03-03 18:56:58.427 | INFO     | __main__:do_parse:127 - Done [20/1758] GB 4806.8-2016 食品安全国家标准  食品接触用纸和纸板材料及制品
2026-03-03 18:56:58.427 | INFO     | __main__:do_parse:112 - Processing [21/1758] GB 31639-2023食品安全国家标准 食品加工用菌种制剂
2026-03-03 18:56:58.430 | DEBUG    | mineru.utils.pdf_image_tools:load_images_from_pdf:116 - PDF to images using 4 processes, page ranges: [(0, 0), (1, 1), (2, 2), (3, 3)]
2026-03-03 18:57:01.962 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:238 - load images cost: 3.53, speed: 1.133 images/s
2026-03-03 18:57:05.867 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:243 - infer finished, cost: 3.9, speed: 1.026 page/s
2026-03-03 18:57:06.008 | INFO     | __main__:_process_output:231 - local output dir is /Users/wwj/Desktop/self/download_gb/output/GB 31639-2023食品安全国家标准 食品加工用菌种制剂/vlm
2026-03-03 18:57:06.008 | INFO     | __main__:do_parse:127 - Done [21/1758] GB 31639-2023食品安全国家标准 食品加工用菌种制剂
2026-03-03 18:57:06.008 | INFO     | __main__:do_parse:112 - Processing [22/1758] GB 5009.153-2016 食品安全国家标准 食品中植酸的测定
2026-03-03 18:57:06.010 | DEBUG    | mineru.utils.pdf_image_tools:load_images_from_pdf:116 - PDF to images using 4 processes, page ranges: [(0, 0), (1, 1), (2, 2), (3, 4)]
2026-03-03 18:57:09.111 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:238 - load images cost: 3.1, speed: 1.613 images/s
2026-03-03 18:57:15.130 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:243 - infer finished, cost: 6.02, speed: 0.831 page/s
2026-03-03 18:57:15.291 | INFO     | __main__:_process_output:231 - local output dir is /Users/wwj/Desktop/self/download_gb/output/GB 5009.153-2016 食品安全国家标准 食品中植酸的测定/vlm
2026-03-03 18:57:15.292 | INFO     | __main__:do_parse:127 - Done [22/1758] GB 5009.153-2016 食品安全国家标准 食品中植酸的测定
2026-03-03 18:57:15.292 | INFO     | __main__:do_parse:112 - Processing [23/1758] GB 5009.111-2016  食品安全国家标准  食品中脱氧雪腐镰刀菌烯醇及其乙酰化衍生物的测定
2026-03-03 18:57:15.297 | DEBUG    | mineru.utils.pdf_image_tools:load_images_from_pdf:116 - PDF to images using 4 processes, page ranges: [(0, 4), (5, 9), (10, 14), (15, 22)]
2026-03-03 18:57:19.098 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:238 - load images cost: 3.8, speed: 6.053 images/s
2026-03-03 18:57:44.505 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:243 - infer finished, cost: 25.41, speed: 0.905 page/s
2026-03-03 18:57:45.290 | INFO     | __main__:_process_output:231 - local output dir is /Users/wwj/Desktop/self/download_gb/output/GB 5009.111-2016  食品安全国家标准  食品中脱氧雪腐镰刀菌烯醇及其乙酰化衍生物的测定/vlm
2026-03-03 18:57:45.290 | INFO     | __main__:do_parse:127 - Done [23/1758] GB 5009.111-2016  食品安全国家标准  食品中脱氧雪腐镰刀菌烯醇及其乙酰化衍生物的测定
2026-03-03 18:57:45.290 | INFO     | __main__:do_parse:112 - Processing [24/1758] 27 牛奶中双甲脒残留标示物残留量的测定 气相色谱法
2026-03-03 18:57:45.294 | DEBUG    | mineru.utils.pdf_image_tools:load_images_from_pdf:116 - PDF to images using 4 processes, page ranges: [(0, 1), (2, 3), (4, 5), (6, 8)]
2026-03-03 18:57:48.996 | DEBUG    | mineru.backend.vlm.vlm_analyze:doc_analyze:238 - load images cost: 3.7, speed: 2.432 images/s
